site_id,geo_lat,geo_lon,data_type,data_class,data_source,error
10052,44.9,-97,GIC,measured,NERC,
10064,41.8,-88.2,GIC,measured,NERC,"stays at zero"
10065,41.8,-87.8,GIC,measured,NERC,"periods of missing data, otherwise fine"
10066,41.6,-87.9,GIC,measured,NERC,"not centered on zero, noisy"
10067,42.1,-87.9,GIC,measured,NERC,"all negative, not smooth"
10068,42,-88.2,GIC,measured,NERC,"periods of missing data, otherwise fine"
10069,41.9,-87.7,GIC,measured,NERC,"very noisy"
10071,42.2,-88.9,GIC,measured,NERC,"very noisy"
10072,42.2,-88.9,GIC,measured,NERC,"periods of missing data, otherwise fine"
10073,41.6,-87.7,GIC,measured,NERC,"very noisy"
10074,41.2,-87.9,GIC,measured,NERC,"periods of missing data, otherwise fine"
10075,41.7,-87.5,GIC,measured,NERC,"1-min cadence"
10076,41.8,-88,GIC,measured,NERC,"not centered on zero, otherwise fine"
10094,41.9,-72.5,GIC,measured,NERC,"not smooth"
10095,41.7,-72.2,GIC,measured,NERC,"stays at zero"
10096,41.8,-72.6,GIC,measured,NERC,"stays at zero"
10097,41.4,-72.1,GIC,measured,NERC,"1-min cadence, missing periods of data"
10098,41.4,-72.1,GIC,measured,NERC,"1-min cadence, missing periods of data"
10099,41.4,-73.4,GIC,measured,NERC,"one really high peak"
10100,41.6,-72.9,GIC,measured,NERC,"stays at zero"
10103,38.6,-121.3,GIC,measured,NERC,"very noisy"
10222,40.2,-75.3,GIC,measured,NERC,"periods of missing data, otherwise fine"
10223,32.9,-115.7,GIC,measured,NERC,"really low values, missing periods of data"
10224,40.2,-75.3,GIC,measured,NERC,"periods of missing data, otherwise fine"
10229,43.6,-92.7,GIC,measured,NERC,"all positive, not smooth"
10232,45,-92.8,GIC,measured,NERC,"a few large spikes"
10233,47.6,-122.3,GIC,measured,NERC,"no data available"
10237,33.7,-84.9,GIC,measured,NERC,"noisy"
10238,31.5,-83.5,GIC,measured,NERC,
10239,31.3,-81.7,GIC,measured,NERC,"too smooth"
10253,47.5,-116.2,GIC,measured,NERC,"a little noisy"
10254,42.8,-82.5,GIC,measured,NERC,"too high, noisy"
10255,45.7,-94.7,GIC,measured,NERC,
10265,43.6,-116.3,GIC,measured,NERC,"not centered on zero"
10266,42.8,-114.4,GIC,measured,NERC,"some peaks"
10297,46.8,-92.3,GIC,measured,NERC,"some peaks"
10298,43.4,-88,GIC,measured,NERC,"too low, noisy"
10299,46.6,-87.4,GIC,measured,NERC,"data cut off at zero"
10300,46.6,-87.4,GIC,measured,NERC,"data cut off at zero"
10301,44,-88.6,GIC,measured,NERC,"some peaks"
10302,44.2,-88.1,GIC,measured,NERC,"stays constant"
10303,44.8,-89.7,GIC,measured,NERC,"too low, noisy"
10304,44.8,-89.7,GIC,measured,NERC,"too low, noisy"
10306,44.8,-88.2,GIC,measured,NERC,"data cut off at zero"
10307,44.4,-88.4,GIC,measured,NERC,"not centered, noisy"
10308,42.5,-89.1,GIC,measured,NERC,"some peaks"
10309,45.8,-88,GIC,measured,NERC,"data cut off at zero"
10310,43,-89,GIC,measured,NERC,"not centered on zero"
10311,43,-89,GIC,measured,NERC,"noisy"
10312,43,-89,GIC,measured,NERC,"noisy"
10313,44.5,-89.6,GIC,measured,NERC,"noisy"
10314,44.5,-89.6,GIC,measured,NERC,"stays constant"
10315,44.5,-89.6,GIC,measured,NERC,"noisy"
10316,43.7,-88.5,GIC,measured,NERC,"noisy"
10317,43.7,-88.5,GIC,measured,NERC,"noisy"
10318,44.4,-88.7,GIC,measured,NERC,"some peaks"
10321,43.1,-88,GIC,measured,NERC,"some peaks"
10322,43.3,-89.4,GIC,measured,NERC,"noisy"
10336,44.8,-91.5,GIC,measured,NERC,"1-min cadence"
10338,44.8,-91.5,GIC,measured,NERC,"high cadence"
10339,43.7,-95.7,GIC,measured,NERC,"noisy"
10340,43.7,-95.7,GIC,measured,NERC,"noisy"
10341,45,-93.5,GIC,measured,NERC,"high cadence"
10342,45,-93.5,GIC,measured,NERC,"high cadence, missing periods of data"
10343,47.9,-97.1,GIC,measured,NERC,"high cadence, missing periods of data"
10344,47.9,-97.1,GIC,measured,NERC,"high cadence, missing periods of data"
10345,47.9,-97.1,GIC,measured,NERC,"high cadence, missing periods of data"
10347,47.9,-97.1,GIC,measured,NERC,"high cadence, missing periods of data"
10348,45.5,-94.3,GIC,measured,NERC,"high cadence"
10349,44.8,-93.6,GIC,measured,NERC,"high cadence, missing periods of data"
10350,44.8,-93.6,GIC,measured,NERC,"high cadence, missing periods of data"
10351,44.8,-93.6,GIC,measured,NERC,"noisy, missing periods of data"
10352,44.8,-93.6,GIC,measured,NERC,"noisy, missing periods of data"
10353,45.4,-93.9,GIC,measured,NERC,"high cadence"
10354,45.9,-91.5,GIC,measured,NERC,"high cadence, missing periods of data"
10355,44.2,-94,GIC,measured,NERC,"high cadence, noisy"
10356,44.2,-94,GIC,measured,NERC,"high cadence, noisy"
10357,47.7,-117.5,GIC,measured,NERC,"very noisy"
10358,38.7,-121.2,GIC,measured,NERC,"not smooth, missing periods of data"
10389,38.3,-87.4,GIC,measured,NERC,"not smooth, missing periods of data"
10397,39.1,-78.3,GIC,measured,NERC,"some peaks"
10398,41.1,-74.2,GIC,measured,NERC,"noisy"
10586,34,-118.5,GIC,measured,NERC,"no data availible"
10587,46.4,-117,GIC,measured,NERC,
10591,35.8,-106.1,GIC,measured,NERC,"no data availible"
10592,43.2,-84.5,GIC,measured,NERC,"missing periods of data"
10603,42.6,-83,GIC,measured,NERC,"missing periods of data"
10605,45.3,-122.6,GIC,measured,NERC,"not smooth, all positive"
10606,41.3,-72.9,GIC,measured,NERC,"high cadence"
10607,41.3,-72.9,GIC,measured,NERC,"high cadence"
